Ali MacGraw
Norma Shearer
Norma Shearer
Norma Shearer
Norma Shearer
Norma Shearer 
Olivia Colman 
Olivia de Havilland
Olivia de Havilland
Olivia de Havilland 
Olivia de Havilland 
Patricia Neal
Patricia Neal 
Pauline Collins
Penélope Cruz
Piper Laurie
Quvenzhané Wallis
Rachel Roberts
Reese Witherspoon
Reese Witherspoon 
Renée Zellweger
Renée Zellweger
Renée Zellweger 
Rooney Mara
Rosalind Russell
Rosalind Russell
Rosalind Russell
Rosalind Russell
Rosamund Pike
Ruth Chatterton
Ruth Chatterton
Ruth Negga
Sally Field 
Sally Field 
Sally Hawkins
Sally Kirkland
Salma Hayek
Samantha Eggar
Samantha Morton
Sandra Bullock
Sandra Bullock 
Saoirse Ronan
Saoirse Ronan
Saoirse Ronan
Sarah Miles
Scarlett Johansson
Sharon Stone
Shelley Winters
Shirley Booth 
Shirley MacLaine
Shirley MacLaine
Shirley MacLaine
Shirley MacLaine
Shirley MacLaine 
Sigourney Weaver
Sigourney Weaver
Simone Signoret
Simone Signoret 
Sissy Spacek
Sissy Spacek
Sissy Spacek
Sissy Spacek
Sissy Spacek
Sissy Spacek 
Sophia Loren
Sophia Loren 
Stockard Channing
Susan Hayward
Susan Hayward
Susan Hayward
Susan Hayward
Susan Hayward 
Susan Sarandon
Susan Sarandon
Susan Sarandon
Susan Sarandon
Susan Sarandon 
Talia Shire
Teresa Wright
Valerie Perrine
Vanessa Redgrave
Vanessa Redgrave
Vanessa Redgrave
Vanessa Redgrave
Viola Davis
Vivien Leigh 
Vivien Leigh 
Wendy Hiller
Whoopi Goldberg
Winona Ryder
Yalitza Aparicio
