Jack Lemmon
Jack Lemmon
Jack Lemmon
Jack Lemmon 
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson
Jack Nicholson 
Jack Nicholson 
Jackie Cooper
James Cagney
James Cagney
James Cagney 
James Dean *
James Dean *
James Earl Jones
James Franco
James Garner
James Mason
James Stewart
James Stewart
James Stewart
James Stewart
James Stewart 
James Whitmore
James Woods
Jamie Foxx 
Javier Bardem
Javier Bardem
Jean Dujardin 
Jeff Bridges
Jeff Bridges
Jeff Bridges 
Jeremy Irons 
Jeremy Renner
Jesse Eisenberg
Joaquin Phoenix
Joaquin Phoenix
Joaquin Phoenix 
John Garfield
John Hurt
John Travolta
John Travolta
John Wayne
John Wayne 
Johnny Depp
Johnny Depp
Johnny Depp
Jon Voight
Jon Voight
Jon Voight 
Jonathan Pryce
José Ferrer
José Ferrer 
Jude Law
Kenneth Branagh
Kevin Costner
Kevin Spacey 
Kirk Douglas
Kirk Douglas
Kirk Douglas
Larry Parks
Laurence Fishburne
Laurence Harvey
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier
Laurence Olivier 
Lawrence Tibbett
Lee Marvin 
Leonardo DiCaprio
Leonardo DiCaprio
Leonardo DiCaprio
Leonardo DiCaprio
Leonardo DiCaprio 
Leslie Howard
Leslie Howard
Lew Ayres
Lewis Stone
Liam Neeson
Lionel Barrymore 
Louis Calhern
Marcello Mastroianni
Marcello Mastroianni
Marcello Mastroianni
Marlon Brando
Marlon Brando
Marlon Brando
Marlon Brando
Marlon Brando
Marlon Brando 
Marlon Brando §
Massimo Troisi *
Matt Damon
Matt Damon
Matthew McConaughey 
Maurice Chevalier 
Max von Sydow
Maximilian Schell
Maximilian Schell 
Melvyn Douglas
Michael Caine
Michael Caine
Michael Caine
Michael Caine
Michael Douglas 
Michael Fassbender
Michael Keaton
Michael Redgrave
Mickey Rooney
Mickey Rooney
Mickey Rourke
Montgomery Clift
Montgomery Clift
Montgomery Clift
Monty Woolley
Morgan Freeman
Morgan Freeman
Morgan Freeman
Nick Nolte
Nick Nolte
Nicolas Cage
Nicolas Cage 
Nigel Hawthorne
Orson Welles
Oskar Werner
Paul Lukas 
Paul Muni
Paul Muni
Paul Muni
Paul Muni
Paul Muni 
Paul Muni 
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman
Paul Newman 
Paul Scofield 
Paul Winfield
Peter Finch
Peter Finch ^
Peter Fonda
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter O'Toole
Peter Sellers
Peter Sellers
Philip Seymour Hoffman 
Ralph Fiennes
Rami Malek 
Ray Milland 
Raymond Massey
Rex Harrison
Rex Harrison 
Richard Barthelmess
Richard Burton
Richard Burton
Richard Burton
Richard Burton
Richard Burton
Richard Burton
Richard Dix
Richard Dreyfuss
Richard Dreyfuss 
Richard Farnsworth
Richard Harris
Richard Harris
Richard Jenkins
Richard Todd
Robert De Niro
Robert De Niro
Robert De Niro
Robert De Niro
Robert De Niro 
Robert Donat
Robert Donat 
Robert Downey Jr.
Robert Duvall
Robert Duvall
Robert Duvall 
Robert Montgomery
Robert Montgomery
Robert Redford
Roberto Benigni 
Robin Williams
Robin Williams
Robin Williams
Rock Hudson
Rod Steiger
Rod Steiger 
Ron Moody
Ronald Colman
Ronald Colman 
Ronald Colman 
Roy Scheider
Russell Crowe
Russell Crowe
Russell Crowe 
Ryan Gosling
Ryan Gosling
Ryan O'Neal
Sam Waterston
Sean Penn
Sean Penn
Sean Penn
Sean Penn 
Sean Penn 
Sidney Poitier
Sidney Poitier 
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy
Spencer Tracy
